,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
FERNS & FERN ALLIES,,,,,,,,
AZOLLACEAE – MOSQUITO FERN FAMILY,,,,,,,,
Azolla filiculoides,AMERICAN WATER FERN,,http://www.flickr.com/search/?q=jrbp azolla filiculoides,SPEC,,1,,
BLECHNACEAE – DEER FERN FAMILY,,,,,,,,
Woodwardia fimbriata,GIANT CHAIN FERN,,http://www.flickr.com/search/?q=jrbp Woodwardia,SPEC,,2,,
DENNSTAEDTIACEAE – BRACKEN FAMILY,,,,,,,,
Pteridium aquilinum var. pubescens,"BRACKEN, BRAKE",,http://www.flickr.com/search/?q=jrbp Pteridium aquilinum,SPEC,,3,,
DRYOPTERIDACEAE – WOOD FERN FAMILY (see also WOODSIACEAE),,,,,,,,
Dryopteris arguta,COASTAL WOOD FERN,,http://www.flickr.com/search/?q=jrbp Dryopteris,SPEC,,5,,
Polystichum californicum,CALIFORNIA SHIELD FERN,,http://www.flickr.com/search/?q=jrbp Polystichum californicum,SPEC,hybrid P. munitum and P. dudleyi,,,
Polystichum dudleyi,DUDLEY'S SHIELD FERN,,http://www.flickr.com/search/?q=jrbp Polystichum dudleyi,SPEC,,7,,
Polystichum munitum,WESTERN SWORD FERN,,http://www.flickr.com/search/?q=jrbp Polystichum munitum,SPEC,,8,,
EQUISETACEAE – HORSETAIL FAMILY,,,,,,,,
Equisetum arvense,COMMON HORSETAIL,,http://www.flickr.com/search/?q=jrbp Equisetum arvense,SPEC,,9,,
Equisetum hyemale ssp. affine,COMMON SCOURING RUSH,,http://www.flickr.com/search/?q=jrbp Equisetum hyemale,SPEC,,10,,
Equisetum telmateia ssp. braunii,GIANT HORSETAIL,,http://www.flickr.com/search/?q=jrbp Equisetum telmateia,SPEC,,11,,
MARSILEACEAE – MARSILEA FAMILY,,,,,,,,
Marsilea vestita ssp. vestita,CLOVER FERN,,,REP,Dengler Suppl. 9/9/1975; Lennihan 3/96; not reported since,12,,
POLYPODIACEAE – POLYPODY FAMILY,,,,,,,,
Polypodium calirhiza,CALIFORNIA POLYPODY,,http://www.flickr.com/search/?q=jrbp Polypody,SPEC,Lower 1-3 segment pairs equal or > those above; sori not sunken,13,,
PTERIDACEAE – BRAKE FAMILY,,,,,,,,
