"","x"
"1","Azolla filiculoides"
"2","Woodwardia fimbriata"
"3","Pteridium aquilinum"
"4","Dryopteris arguta"
"5","Polystichum californicum"
"6","Polystichum dudleyi"
"7","Polystichum munitum"
"8","Equisetum arvense"
"9","Equisetum hyemale"
"10","Equisetum telmateia"
"11","Marsilea vestita"
"12","Polypodium calirhiza"
"13","Adiantum aleuticum"
"14","Adiantum jordanii"
"15","Pellaea andromedifolia"
"16","Pellaea mucronata"
"17","Pentagramma triangularis"
"18","Cystopteris fragilis"
"19","Hesperocyparis macrocarpa"
"20","Sequoia sempervirens"
"21","Pinus radiata"
"22","Pinus sylvestris"
"23","Pseudotsuga menziesii"
"24","Umbellularia californica"
"25","Ceratophyllum demersum"
"26","Sambucus nigra"
"27","Amaranthus albus"
"28","Amaranthus californicus"
"29","Amaranthus retroflexus"
"30","Pistacia atlantica"
"31","Rhus integrifolia"
"32","Toxicodendron diversilobum"
"33","Osmorhiza chilensis"
"34","Angelica tomentosa"
"35","Anthriscus caucalis"
"36","Apiastrum angustifolium"
"37","Bowlesia incana"
"38","Conium maculatum"
"39","Daucus pusillus"
"40","Eryngium jepsonii"
"41","Foeniculum vulgare"
"42","Heracleum maximum"
"43","Lomatium caruifolium"
"44","Lomatium dasycarpum"
"45","Lomatium macrocarpum"
"46","Lomatium utriculatum"
"47","Oenanthe sarmentosa"
"48","Osmorhiza berteroi"
"49","Perideridia kelloggii"
"50","Sanicula bipinnata"
"51","Sanicula bipinnatifida"
"52","Sanicula crassicaulis"
"53","Sanicula laciniata"
"54","Sanicula tuberosa"
"55","Scandix pecten- veneris"
"56","Tauschia hartwegii"
"57","Tauschia kelloggii"
"58","Torilis arvensis"
"59","Torilis nodosa"
"60","Yabea microcarpa"
"61","Asclepias fascicularis"
"62","Nerium oleander"
"63","Vinca major"
"64","Aralia californica"
"65","Hedera helix"
"66","Achillea millefolium"
"67","Achyrachaena mollis"
"68","Adenocaulon bicolor"
"69","Agoseris grandiflora"
"70","Agoseris heterophylla"
"71","Anisocarpus madioides"
"72","Anthemis cotula"
"73","Arnica discoidea"
"74","Artemisia biennis"
"75","Artemisia californica"
"76","Artemisia douglasiana"
"77","Baccharis glutinosa"
"78","Baccharis pilularis"
"79","Calycadenia multiglandulosa"
"80","Carduus pycnocephalus"
"81","Carduus tenuiflorus"
"82","Centaurea calcitrapa"
"83","Centaurea melitensis"
"84","Centaurea solstitialis"
"85","Cichorium intybus"
"86","Cirsium brevistylum"
"87","Cirsium occidentale"
"88","Cirsium occidentale"
"89","Cirsium vulgare"
